errate,giusta,domanda
"['Service value chain.', 'Focus on value.', 'Governance.']",['Guiding principles.'],[?] is/are defined as a recommendation that can guide an organization in all circumstances and will guide organizations when adopting service management.
"['Progress iteratively with feedback.', 'Collaborate and promote visibility.', 'Think and work holistically.']",['Focus on value.'],"You have been assigned to a team that has been asked to identify how your consumers use a particular service, what the service helps them to do, and how the service helps them to identify their goals. Which of the guiding principles should best be applied in your situation?"
"['Focus on value.', 'Keep it simple and practical.', 'Optimize and automate.']",['Start where you are.'],"Your organization is currently running a web hosting service, but it is not providing sufficient utility and warranty. In order to fix this, a team has been assembled and asked to design a new web hosting service. The team manager suggests that the team first look at the existing service and its processes before they begin to design the new service. What guiding principle is being followed by the team manager?"
"['Focus on value.', 'Progress iteratively with feedback.', 'Optimize and automate.']",['Collaborate and promote visibility.'],Which guiding principle is focused on involving the right people in the correct roles in order to get additional buy-in for the project and increase the likelihood of long-term success?
"['Think and work holistically.', 'Optimize and automate.', 'Focus on value.']",['Keep it simple and practical.'],"During a review of the New Account Creation process at your company, you determine that the current process requires 15 steps to create a new account. As you analyze each step, you find that steps 3 and 5 provide no value to the process or the organization. Based on which guiding principle should you eliminate steps 3 and 5 from the process?"
"['Optimization.', 'Value.', 'Utility.']",['Automation.'],What refers to the use of technology to perform a step or series of steps correctly and consistently with limited or no human involvement?
"['Information and technology.', 'Partners and suppliers.', 'Value streams and processes.']",['Organizations and people.'],Which service management dimension is focused on the roles and responsibilities of the people involved in a process' workflow?
"['Organizations and people.', 'Partners and suppliers.', 'Value streams and processes.']",['Information and technology.'],Which service management dimension is focused on the communication systems and knowledge bases used by employees?
"['Seven guiding principles.', 'Service value chain.', 'Four dimensions of service management.']",['Service value system.'],Which ITIL concept describes practices?
"['Plan.', 'Engage.', 'Delivery and Support.']",['Practice.'],Which of the following is NOT an activity within the service value chain?
"['Design and transition.', 'Engage.', 'Deliver and support.']",['Obtain/build.'],Your company has recently engaged a new supplier to provide you with 3 routers that will handle 1 Gbps of throughput. They are scheduled for installation in three months. Your team is currently configuring the devices in preparation for installation into the network architecture based upon the design requirements. Which value chain activity would best categorize your configuration actions in this scenario?
"['Where do we want to be?', 'Where are we now?', 'Take action.']",['How do we get there?'],Management has set a goal to reduce the number of physical servers in the datacenter by 10% this year. Your team is responsible for creating a plan to migrate 50% of the physical servers into virtualized systems. Which step of the continual improvement model are you currently working on?
"['Standard.', 'Emergency.', 'Routine.']",['Normal.'],You are working as part of an improvement initiative and your team would like to release a new module into the existing Customer Relationship Management system. Which type of change should you initiate?
"[""A change that doesn't need risk assessment because the procedure has been pre-authorized."", 'A change that needs to be assessed, authorized, and scheduled by a change authority.', 'A change that is assessed, authorized, and scheduled as part of Continual Improvement.']",['A change that must be implemented as soon as possible because it is required to resolve an incident or security issue.'],What is an emergency change?
"['CEO.', 'IT Director.', 'Service desk analyst.']",['Change Authority.'],Who is responsible for approving a change within the organization?
"['It can provide automated resolution and closure of complex incidents.', 'It can ensure that incidents are resolved within the agreed upon timeframe in the service level agreement (SLA).', 'The system can provide specialized knowledge for solving complicated incidents.']",['It can provide automated matching of incidents to problems or known errors.'],Your company has decided to install a service management tool that provides incident management as one of its functions. What is the benefit of using an incident management system?
"['Detailed procedures for the diagnosis of incidents.', 'Authority to implement changes to a system.', 'Observation of all services and service components to identify any change in state.']",['Scripts for collecting initial information about incidents.'],What is usually included as part of Incident Management?
"['Incident.', 'Workaround.', 'Event.']",['Problem.'],"You are working as a service desk analyst. Within the last hour, you have received 13 calls about users being unable to log on to the network. There appears to be something wrong with the domain controller. What would you classify this scenario as?"
"['Workaround.', 'Problem.', 'Incident.']",['Known error.'],"The users on the fourth floor of your building keep calling the service desk to report that their network connectivity is not working properly. The service desk logs each of these incidents, but since there are multiple incidents for the same issue, they forward it to the problem management activity for resolution. During your analysis, you determine that the network switch that services the entire fourth floor is broken and will need to be replaced. You checked the current inventory of spares, but there are none available. It appears this problem will remain for 24 hours until a new switch can be received and installed. How would you categorize the issue described in this scenario?"
"['It collects user-specific requirements, sets expectations, and provides status updates.', 'By initiating standard changes to fulfill service requests.', 'It acquires pre-approved service components to help fulfull service requests.']",['It ensures that users continue to be productive when they need assistance from the service provider.'],How does Service Request Management contribute to the Deliver and Support value chain activity?
"['Analyzing data to identify opportunities to provide new service request options.', 'Ensuring users continue to be productive when they need assistance from the service provider.', 'Initiating standard changes to fulfill service requests.']",['Acquiring pre-approved service components to help fulfill service requests.'],What is an example of an action a service request management employee would undertake as part of the Obtain/Build activity?
"['Service desks should always be a physical team in a single fixed location.', 'Service desks should always use a virtual service desk to save money.', 'Service desks should always be local to the organization they support.']","['Service desks should be designed based on your organization, its business processes, and the user requirements.']",What is true about the Service Desk?
"['Service Level Management.', 'Incident Management.', 'Service Request Management.']",['Service Desk.'],What activity is the main channel for communication and collaboration with users?
"[""Your supervisor's data is based on operational metrics."", ""Your supervisor's data is based on business metrics."", ""Your supervisor's data is based on availability metrics."", ""Your supervisor's data is not based on business outcomes.""]",[],"You are in a quarterly service level management review with your supervisor. The manager asks your supervisor if the service desk has been meeting their SLA target metrics. Your supervisor proudly proclaims that everything is 'green' (meaning, we are meeting all of the targets). Just then, another executive asks, ""If everything is showing as 'green', why am I hearing other users complain that the service is always unavailable for use?"" What might be the reason for this?"
"['Provides feedback from interactions with customers into new or changed services.', 'Provides information about the actual service performance and trends.', 'Collects feedback during interactions and communicates service performance objectives to the operations and support teams.']",['Uses feedback from users about the service and requirements from customers to make the service better.'],How does Service Level Management contribute to the Improve value chain activity?
"['Plan.', 'Improve.', 'Engage.', 'Obtain/Build.']",[],"You are working as a service desk manager. One of your analysts has created a new workaround for a problem that has been causing issues for users for the last few hours. To ensure all users across the network are notified of this workaround, you decide to post the workaround on the front page of your user service portal on the intranet. During which value chain activity would this occur?"
"['Ensuring users continue to be productive when they need assistance from the service provider.', 'Collecting user-specific requirements, setting expectations, and providing status updates.', 'Acquiring pre-approved service components to help fulfill service requests.']",['Initiating standard changes to fulfill service requests.'],What is an example of an action a Service Request Management employee would undertake as part of the Design and Transition activity?
"['A person who authorizes budget for service consumption.', 'A person who works for an organization other than the service provider.', 'A person who uses services.']",['A person who defines the requirements for a service and takes responsibility for the outcomes of service consumption.'],What is the definition of a customer?
"['Outcomes.', 'Requirements.', 'Outputs.']",['Budget.'],A sponsor is a person who authorizes [?] for service consumption.
"['Event.', 'Incident.', 'Problem.']",['Change.'],"What is defined as the addition, modification, or removal of anything that could have a direct or indirect effect on services?"
"['Supporting the agreed quality of a service by handling all pre-defined, user-initiated service requests in an effective and user-friendly manner.', 'Setting clear business-based targets for service performance so that the delivery of a service can be properly assessed, monitored, and managed against these targets.', 'Ensuring that risks are properly assessed, authorizing changes to proceed and managing a change schedule in order to maximize the number of successful IT changes.']",['Ensuring that accurate and reliable information about the configuration of services and the configuration items that support them are available when and where needed.'],What is the purpose of the Service Configuration Management practice?
"['Establishing and nurturing links between an organization and its stakeholders at strategic and tactical levels.', 'Setting clear business-based targets for service performance so that the delivery of a service can be properly assessed, monitored, and managed against these targets.', ""Ensuring that an organization's suppliers and their performance levels are managed appropriately to support the provision of seamless quality products and services.""]","['Supporting the agreed quality of a service by handling all pre-defined, user-initiated service requests in an effective and user-friendly manner.']",What is the purpose of the Service Request Management practice?
"['Availability Management.', 'Service Continuity Management.', 'Change Enablement.']",['Information Security Management.'],"What is defined as the practice of protecting an organization by understanding and managing risks to the confidentiality, integrity, and availability of information?"
"['Service provision.', 'Service offering.', 'Warranty of a service.']",['Service consumption.'],"Dion Training is an online training organization that provides asynchronous, on-demand video training for the ITIL 4 certifications. To provide these on-demand videos, Dion Training relies on a third-party service provider to host the videos securely and stream the content directly to students when requested through Dion Training's website. Dion Training is responsible for managing the amount of storage space utilized on the service provider's server, as well as determining whether a student may or may not watch a particular video. What best describes these activities?"
"['Warranty.', 'Value.', 'Outcome.']",['Utility.'],Which describes the functionality offered by a product or service to meet a particular need?
"['Utility.', 'Value.', 'Outcome.']",['Warranty.'],What term best describes a service that is Fit for Use?
"['Mandatory actions.', 'Prescriptive requirements.', 'Governance.']",['Recommendations.'],What are guiding principles considered?
"['Optimize and automate.', 'Keep it simple and practical.', 'Collaborate and promote visibility.']",['Start where you are.'],"You have been asked to investigate an email service within your organization that is failing to meet its intended outcomes. You begin by determining the intended outcome and then observe the current service with as much objectivity as possible. Based on your observations, you are able to determine that the current service is not meeting its utility and warranty requirements. Which guiding principles best describes your actions in this scenario?"
"['Optimize and automate.', 'Start where you are.', 'Keep it simple and practical.']",['Progress iteratively with feedback.'],"A small start-up in San Francisco is launching a brand new iPhone app. Their staff is small, but they have big dreams and ideas for their app. The app will perform 15 different functions when it is fully developed. Currently, the app only has 4 functions completed, but the company decided to release the app to get some initial feedback. Based on the feedback, the company changed the third function to improve the customer experience and continued to add one function every 3 weeks to the app. What guiding principle best describes what the company was doing?"
"['Plan.', 'Deliver and support.', 'Obtain/Build.']",['Improve.'],"Which value chain activity ensures continual improvement of products, services, and practices across all value chain activities and the four dimensions of service management?"
"['What is the vision?', 'Where do we want to be?', 'How do we get there?']",['Where are we now?'],"Betsy has been hired by your company to lead the process improvement efforts. You have shared with her the overall vision for the process improvement and she begins to analyze your current resources, processes, and metrics. What step of the continual improvement model is Betsy performing?"
"['Where do we want to be?', 'Where are we now?', 'What is the vision?']",['Take action.'],During which step of the continual improvement model is change management and release management usually performed?
"['Where are we now?', 'How do we get there?', 'Take action.']",['Did we get there?'],Your company has spent the last 12 months working on a new improvement to the customer relationship management software in an effort to increase customer satisfaction by 4%. Janet analyzes the current metrics and compares them against the baseline metrics from 12 months ago. Which step of the continual improvement model is Janet working in?
"['What is the vision?', 'How do we get there?', 'Where do we want to be?']",['Where are we now?'],During which step of the continual improvement model do you create your objective baseline measurement?
"['Where are we now?', 'What is the vision?', 'How do we get there?']",['How do we keep the momentum going?'],"Your organization was having a big problem with cybersecurity due to poor password management practices. You had led an improvement initiative to increase the security of the authentication system by implementing two-factor authentication. The original goal was to get at least 35% of the users to utilize two-factor authentication. During the first phase of your improvement initiative, using the two-factor authentication was voluntary for users. By the end of the first phase, it was determined that 43% of users chose to use the two-factor authentication. You want to continue the improvement efforts and increase usage to 100%. Which step in the continual improvement model should you begin with?"
"['Detailed procedures for the diagnosis of incidents.', 'Observation of all services and service components to identify any change in state.', 'Authority to implement changes to a system.']",['Formalized processes for logging incidents.'],What is usually included as part of Incident Management?
"['Event.', 'Problem.', 'Request.']",['Incident.'],"Your laptop was connected to the corporate wireless network this morning but when you came back from lunch, it refuses to connect to the network. What term best describes this scenario?"
"['Detecting duplicate and recurring issues.', 'Performing trend analysis of incident records.', 'Analysis of multiple incidents that may be linked together.']",['Logging an incident.'],Which of the following is NOT a problem identification activity?
"['Problem identification.', 'Error control.', 'Problem control.']",['Incident logging.'],What is NOT a phase in problem management?
"['It ensures that users continue to be productive when they need assistance from the service provider.', 'By initiating standard changes to fulfill service requests.', 'It acquires pre-approved service components to help fulfill service requests.']","['It collects user-specific requirements, sets expectations, and provides status updates.']",How does Service Request Management contribute to the Engage value chain activity?
"['Communicate with consumers to understand their requirements.', 'Initiate and fulfill standard changes.', ""Fulfill the consumer's service requests through acquisition of service components.""]","['Provide trend, quality, and feedback information about requests.']",What is an example of an action a Service Request Management employee would undertake as part of the Improve activity?
"['Walk-in service hours.', '24x7 support.', 'Outsourced employees.']",['Knowledge base.'],What does a centralized Service Desk require?
"['Virtual.', 'Follow-the-sun.', 'Local.']",['Centralized.'],"If your company is using a single Service Desk located in one office building to support users from around the world, what type of Service Desk might this be?"
"['Customer feedback.', 'Operational metrics.', 'Business metrics.']","[""Competitor's metrics.""]",Which of the following is NOT a valid source of Service Level Management data to use in analyzing your service level agreements?
"['Incident.', 'Workaround.', 'Problem.']",['Known error.'],"Your laptop only has a 256GB of SSD storage installed. You have been traveling for work for the last 2 weeks and have downloaded a lot of video files to your internal storage device. Your computer is having issues because there is not enough free space. You called your service desk, but since you are out of the country, they cannot remotely back up all the files on your laptop. They recommend that you move the large files from your internal storage device (256GB SSD) to an external hard drive to free up some available space. Unfortunately, you don't have an external hard drive with you, so you will purchase one at the store later today. How would you classify this situation and the solution recommended?"
"['Collects feedback during interactions and communicates service performance objectives to the operations and support teams.', 'Provides feedback from interactions with customers into new or changed services.', 'Provides information about the actual service performance and trends.']",['Collects and processes feedback from customers and users.'],How does Service Level Management contribute to the Engage value chain activity?
"['Keep it simple and practical.', 'Progress iteratively with feedback.', 'Optimize and automate.']",['Collaborate and promote visibility.'],Which guiding principle is focused on increasing communication both within the project and outside of it?
"['Focus on value.', 'Keep it simple and practical.', 'Think and work holistically.', 'Optimize and automate.']",[],Which guiding principle is concerned with an understanding of how all the parts of an organization work together in an integrated way?
"['Optimize and automate.', 'Progress iteratively with feedback.', 'Keep it simple and practical.', 'Collaborate and promote visibility.']",[],"You have just been promoted to the role of the Service Desk manager. The manager before you loved metrics, and the Service Desk is currently spending numerous hours per week creating reports based on over 150 different metrics they call 'measures of effectiveness'. You believe there are simply too many metrics being collected and begin an analysis of each one to determine if is it providing valuable information. For the ones you find without value, you eliminate the requirement to track and report on those metrics. Which guiding principle are you following in this scenario?"
"['Organizations and people.', 'Information and technology.', 'Value streams and processes.']",['Partners and suppliers.'],Which service management dimension is focused on an organization's relationships with other organizations in order to deliver its services?
"['Workflow management and inventory systems.', 'Roles and responsibilities.', 'Contracts and agreements.']",['Activities that transform inputs into outputs.'],Which of these are a key focus of the Value Streams and Processes dimension?
"['Four dimensions of service management.', 'Service value chain.', 'Practices.']",['Service value system.'],Which ITIL concept describes continual improvement?
"['Improve.', 'Design and Transition.', 'Obtain/Build.']",['Service relationships.'],Which of the following is NOT an activity within the service value chain?
"['Optimize and automate.', 'Start where you are.', 'Focus on value.']",['Progress iteratively with feedback.'],"A company is planning to launch a new service and expects it will take them a full year to develop, test, and release the service. The project board for the project (the new service) has decided that instead of using a waterfall development method, they will use an Agile development method. This method will rely on two-week timeboxes, which means that every two weeks, the team must deliver some portion of the final service. As these smaller pieces of the new service are delivered, beta testers will be given access to the new features and functions to test and provide their initial thoughts on the new service. What guiding principle best describes this scenario?"
"['Keep it simple and practical.', 'Focus on value.', 'Start where you are.']",['Collaborate and promote visibility.'],Which guiding principle requires the identification and managing of all stakeholder groups in order to establish more robust communication across the staff?
"['Automation.', 'Value.', 'Warranty.']",['Optimization.'],What refers to the process of improving and increasing the efficiency of a process or service?
"['Information and technology.', 'Partners and suppliers.', 'Value streams and processes.']",['Organization and people.'],Your company has decided to implement a new management style that will significantly flatten the management hierarchy within the company. Which dimension of service management is most applicable to this change?
"['Organization and people.', 'Information and technology.', 'Partners and suppliers.']",['Value streams and processes.'],"Dion Training Solutions has created an automated system that allows students to purchase their ITIL 4 Foundation exam vouchers at a discount through the Dion Training website. To accomplish this, the company sets up a 9-step automated series of activities that occurs once the student orders the voucher on the website. When this occurs, the automation selects a voucher for the student, emails them their unique voucher code and exam scheduling instructions, logs the purchase, remove the voucher from the inventory, and notifies the staff if the voucher inventory gets below a certain threshold. Which dimension of service management best represents this series of actions that is occurring through automation?"
"['Four dimensions of Service Management.', 'Service value chain.', 'Practices.']",['Service value system.'],Which ITIL concept describes guiding principles?
"['Plan.', 'Obtain/Build.', 'Engage.']",['Continual Improvement.'],Which of the following is NOT an activity within the service value chain?
"['A person who defines the requirements for a service and takes responsibility for the outcomes of service consumption.', 'A person who authorizes budget for service consumption.', 'A person who works for an organization other than the service provider.']",['A person who uses services.'],What is the definition of a user?
"['Requirements.', 'Functions.', 'Products.']",['Capabilities.'],Service management is a set of specialized organizational [?] for enabling value for customers in the form of services.
"['A means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks.', 'Any valuable component that can contribute to the delivery of an IT product or service.', 'A particular set of settings or options on a given piece of equipment']",['Any component that needs to be managed in order to deliver an IT service.'],What is the definition of a configuration item?
"['Planned.', 'Scheduled.', 'Expected.']",['Unplanned.'],An incident is a(n) [?] interruption to a service or reduction in the quality of a service.
"['Supporting the agreed quality of a service by handling all pre-defined, user-initiated service requests in an effective and user-friendly manner.', 'Making new and changed services and features available for use.', ""Aligning an organization's practices and services with changing business needs through the ongoing identification and improvement of all elements involved in the effective management of products and services.""]","['Ensuring that risks are properly assessed, authorizing changes to proceed and managing a change schedule in order to maximize the number of successful IT changes.']",What is the purpose of the Change Enablement practice?
"['Ensuring that risks are properly assessed, authorizing changes to proceed and managing a change schedule in order to maximize the number of successful IT changes.', 'Making new and changed services and features available for use.', 'Supporting the agreed quality of a service by handling all pre-defined, user-initiated service requests in an effective and user-friendly manner.']","['Moving new or changed hardware, software, documentation, processes, or any other service component to live environments.']",What is the purpose of the Deployment Management practice?
"['Establishing and nurturing links between an organization and its stakeholders at strategic and tactical levels.', 'Supporting the agreed quality of a service by handling all pre-defined, user-initiated service requests in an effective and user-friendly manner.', ""Ensuring that an organization's suppliers and their performance levels are managed appropriately to support the provision of seamless quality products and services."", 'Setting clear business-based targets for service performance so that the delivery of a service can be properly assessed, monitored, and managed against these targets.']",[],What is the purpose of the Service Level Management practice?
"['Change Enablement.', 'Release Management.', 'Deployment Management.']",['IT Asset Management.'],What is defined as the practice of planning and managing the full lifecycle of all IT assets?
"['Service consumption.', 'Service offering.', 'Warranty of a service.']",['Service provision.'],Dion Training has just hired three new staff members. The IT department at Dion Training has created new accounts for the new staff members on the domain controller and allocated 10 GB of storage on the company's internal file server per staff member. What term best describes these activities performed by the IT department?
"['Value.', 'Outputs.', 'Outcomes.']",['Costs.'],"[?] may simultaneously be removed from a service consumer and imposed on a service provider. For example, outsourcing a service to a service provider may remove the need for the consumer to have their own IT infrastructure, but it may require them to install a faster Internet connection to reach the service provider's servers instead."
"['Value.', 'Cost.', 'Outcome.']",['Output.'],Your organization has recently installed a brand new accounting program. The program has many functions including one that creates a report that shows the 'Profit and Loss (P&L)' metrics for the month. What term best describes the P&L report that is produced each month?
"['Mandatory actions.', 'Governance.', 'Value.']",['Guiding principle.'],Your organization is currently designing a new service for implementation. The team designing the service has decided to focus on value during the design efforts. What best describes Focus on Value in this context?
"['Collaborate and promote visibility.', 'Think and work holistically.', 'Progress iteratively with feedback.']",['Focus on value.'],Which guiding principle may best be served by understanding the cost and financial consequences that a service consumer might face when choosing to use a service?
"['Focus on value.', 'Optimize and automate.', 'Progress iteratively with feedback.']",['Start where you are.'],"Which guiding principle states that there is likely something in the current services, processes, programs, projects, or organization that can be used to create the desired outcome for a new or redesigned service?"
"['Deliver and Support.', 'Obtain/Build.', 'Plan.']",['Design and Transition.'],"Which value chain activity ensures that products and services continually meet stakeholder expectations for quality, costs, and time to market?"
"['What is the vision?', 'Where do we want to be?', 'Where are we now?']",['Did we get there?'],During which step of the continual improvement model would you check to verify whether or not you have reached the desired outcome in your improvement initiative?
"['What is the vision?', 'Did we get there?', 'Where do we want to be?']",['How do we get there?'],What is the step after 'where do we want to be' in the continual improvement model?
"[""A change that doesn't need risk assessment because the procedure has been pre-authorized."", 'A change that is routine in nature, is fully documented, and the risks are well understood.', ""A change that doesn't need risk assessment because it is required to resolve an incident.""]","['A change that is scheduled, assessed, and authorized using a standard process.']",What is a normal change?
"['Normal.', 'Emergency.', 'Routine.']",['Standard.'],You are working as a service desk analyst. You just received a change request to create a new user account. What type of change would this be considered?
"['Ensure expected performance levels are maintained.', 'Observation of all services and service components to identify any change in state.', 'Use of specialized knowledge for complicated incidents.']",['Detailed procedures for the diagnosis of incidents.'],What is usually NOT included as part of Incident Management?
"['Change Management.', 'Problem Management.', 'Service Level Management.']",['Incident Management.'],Which practice would include a formalized process for logging unplanned interruptions to a service?
"['Promotion.', 'Postponement.', 'Reduction.']",['Escalation.'],"During incident management, what is it called when the incident is passed on to the next higher level of technician?"
